,STATE,Year of Data,Total Revenue from Federal Sources
1480,5,15,77
1481,5,15,1341
1482,5,15,4283
1483,5,15,785
1484,5,15,968
1485,5,15,0
1486,5,15,37683
1487,5,15,1495
1488,5,15,372
1489,5,15,2126
1490,5,15,116
1491,5,15,571
1492,5,15,752
1493,5,15,4637
1494,5,15,1127
1495,5,15,97
1496,5,15,271
1497,5,15,114
1498,5,15,43
1499,5,15,168
1500,5,15,164
1501,5,15,92
1502,5,15,658
1503,5,15,432
1504,5,15,3892
1505,5,15,3659
1506,5,15,4153
1507,5,15,126
1508,5,15,126
1509,5,15,0
1510,5,15,479
1511,5,15,67
1512,5,15,151
1513,5,15,638
1514,5,15,182
1515,5,15,42
1516,5,15,243
1517,5,15,68
1518,5,15,247
1519,5,15,215
1520,5,15,34
1521,5,15,72
1522,5,15,178
1523,5,15,307
1524,5,15,94
1525,5,15,91
1526,5,15,53
1527,5,15,40
1528,5,15,134
1529,5,15,267
1530,5,15,466
1531,5,15,42
1532,5,15,360
1533,5,15,460
1534,5,15,74
1535,5,15,1364
1536,5,15,0
1537,5,15,912
1538,5,15,778
1539,5,15,395
1540,5,15,1776
1541,5,15,2188
1542,5,15,15430
1543,5,15,5988
