,State,Year,Total Federal Revenue,Total State Revenue,Employed per 1k,% Employed,Teacher Pay,Pop. Below Poverty Level,Percent of Pop. Below Poverty Level,Grdn Bachelor Degree+,Grdn HS Diploma or GED,Grdn No HS Diploma,Grdn Some College,Student/Teacher Ratio,Teen Preg. Rate (State),Dropouts,Food Insecurity Rate,Child food insecurity rate
128,Indiana,2011,1164688.0,3704150.0,107.0,28.1,51629.0,360859.0,23.0,1049.0,1865.0,808.0,1324.0,16.7,34.8,23000.0,0.1367065217391305,0.20917391304347827
129,Indiana,2012,983232.0,3920971.0,109.0,28.1,51456.0,349524.0,22.4,986.0,1681.0,963.0,1412.0,17.4,33.0,23000.0,0.1401304347826087,0.2159021739130435
130,Indiana,2013,867735.0,3960822.0,104.0,28.6,50644.0,345056.0,22.2,1029.0,1731.0,850.0,1448.0,17.51,30.3,19000.0,0.14126086956521733,0.22203260869565217
131,Indiana,2014,825742.0,3966872.0,113.0,30.7,50502.0,333348.0,21.5,1090.0,1810.0,791.0,1406.0,18.5,28.0,18000.0,0.1350652173913043,0.21064130434782607
132,Indiana,2015,848963.0,4176753.0,113.0,32.0,50715.0,322520.0,20.9,1190.0,1885.0,845.0,1235.0,18.15,26.0,18000.0,0.12850000000000006,0.18999999999999997
133,Indiana,2016,880296.0,4269100.0,127.0,36.9,50554.0,301156.0,19.5,1224.0,1817.0,833.0,1333.0,17.45,23.6,18000.0,0.12470652173913047,0.1788369565217392
134,Indiana,2017,911061.0,4330473.0,158.0,37.7,54846.0,282390.0,18.4,1379.0,1640.0,817.0,1375.0,17.28,22.8,22000.0,0.11870652173913046,0.16922826086956516
136,Iowa,2010,1549575.0,3348043.0,77.0,44.3,50634.0,115365.0,16.3,525.0,763.0,364.0,748.0,14.31,28.6,8000.0,0.12563636363636368,0.18900000000000008
137,Iowa,2011,1497262.0,3269321.0,67.0,42.0,51037.0,122828.0,17.3,524.0,757.0,386.0,716.0,14.31,25.3,8000.0,0.11845454545454544,0.18356565656565657
138,Iowa,2012,1527734.0,3588546.0,65.0,40.7,51528.0,112573.0,15.9,579.0,757.0,379.0,724.0,14.25,24.1,6000.0,0.11945454545454547,0.19387878787878793
139,Iowa,2013,1229248.0,3370399.0,79.0,46.8,51662.0,115194.0,16.2,596.0,744.0,365.0,712.0,14.21,22.1,5000.0,0.11932323232323232,0.1968686868686869
140,Iowa,2014,1272004.0,3455315.0,77.0,49.0,52862.0,108888.0,15.3,569.0,797.0,313.0,784.0,14.16,19.8,6000.0,0.11920202020202017,0.18659595959595976
141,Iowa,2015,1235580.0,3480365.0,77.0,50.6,54416.0,105540.0,14.8,635.0,762.0,298.0,775.0,14.24,18.6,6000.0,0.11329292929292932,0.17104040404040396
142,Iowa,2016,1021465.0,3480353.0,71.0,49.1,55443.0,105032.0,14.8,679.0,728.0,322.0,761.0,14.24,17.2,7000.0,0.11023232323232324,0.1651515151515152
143,Iowa,2017,1045678.0,3484308.0,,,56790.0,88070.0,12.3,719.0,714.0,276.0,800.0,14.4,16.0,8000.0,0.10614141414141419,0.15964646464646465
145,Kansas,2010,320917.0,1083913.0,62.0,39.8,47080.0,131258.0,18.4,594.0,567.0,331.0,663.0,13.96,39.3,7000.0,0.12995238095238093,0.20998095238095232
146,Kansas,2011,289290.0,1043281.0,50.0,36.2,46718.0,133556.0,18.8,642.0,532.0,325.0,670.0,13.0,35.4,7000.0,0.12336190476190478,0.20590476190476184
147,Kansas,2012,239982.0,1012326.0,53.0,36.8,47464.0,135006.0,19.0,675.0,573.0,313.0,648.0,11.86,34.1,8000.0,0.12716190476190475,0.21516190476190472
148,Kansas,2013,196466.0,1029166.0,61.0,38.9,48221.0,132460.0,18.7,639.0,595.0,317.0,675.0,13.01,29.6,5000.0,0.13032380952380954,0.223152380952381
149,Kansas,2014,182961.0,1032280.0,66.0,42.3,48990.0,126063.0,17.7,688.0,519.0,330.0,708.0,13.2,27.6,6000.0,0.12846666666666667,0.215447619047619
150,Kansas,2015,183883.0,1060925.0,64.0,42.1,49197.0,122329.0,17.2,644.0,588.0,373.0,658.0,12.39,25.5,6000.0,0.12235238095238096,0.19632380952380957
151,Kansas,2016,185803.0,1074641.0,64.0,39.3,47984.0,99323.0,14.1,668.0,559.0,358.0,671.0,13.66,21.9,7000.0,0.12109523809523808,0.19397142857142852
152,Kansas,2017,184381.0,1061490.0,,,50403.0,103689.0,14.8,665.0,588.0,325.0,689.0,13.66,21.3,7000.0,0.11836190476190477,0.18425714285714287
154,Kentucky,2010,1004498.0,5544725.0,67.0,31.2,50038.0,262760.0,26.3,684.0,1065.0,776.0,915.0,16.01,46.2,15000.0,0.17409166666666667,0.2400666666666667
